run_id,question_id,group,input_condition,project_name,audit_module,suggested_skill,model_output,score_problem_identification,score_standard_basis,score_evidence_location,score_reasoning_consistency,score_actionability,score_risk_boundary,human_comment
SC_HMHX_006_C,SC_HMHX_006,C,大模型 + 审核技能库,和默化学（佛山）有限公司新建项目,废水处理与委外处置审核,07_污染物排放标准审核,,,,,,,,
SC_HMHX_006_D,SC_HMHX_006,D,大模型 + 标准依据库 + 审核技能库,和默化学（佛山）有限公司新建项目,废水处理与委外处置审核,07_污染物排放标准审核,,,,,,,,
SC_PC_001_A,SC_PC_001,A,仅大模型 + 审核问题,鹏彩科技（佛山市）有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_PC_001_B,SC_PC_001,B,大模型 + 标准依据库,鹏彩科技（佛山市）有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_PC_001_C,SC_PC_001,C,大模型 + 审核技能库,鹏彩科技（佛山市）有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_PC_001_D,SC_PC_001,D,大模型 + 标准依据库 + 审核技能库,鹏彩科技（佛山市）有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_PC_002_A,SC_PC_002,A,仅大模型 + 审核问题,鹏彩科技（佛山市）有限公司新建项目,VOCs与废气治理审核,10_废气收集形式审核 / 11_废气设计风量审核,,,,,,,,
SC_PC_002_B,SC_PC_002,B,大模型 + 标准依据库,鹏彩科技（佛山市）有限公司新建项目,VOCs与废气治理审核,10_废气收集形式审核 / 11_废气设计风量审核,,,,,,,,
SC_PC_002_C,SC_PC_002,C,大模型 + 审核技能库,鹏彩科技（佛山市）有限公司新建项目,VOCs与废气治理审核,10_废气收集形式审核 / 11_废气设计风量审核,,,,,,,,
SC_PC_002_D,SC_PC_002,D,大模型 + 标准依据库 + 审核技能库,鹏彩科技（佛山市）有限公司新建项目,VOCs与废气治理审核,10_废气收集形式审核 / 11_废气设计风量审核,,,,,,,,
SC_PC_004_A,SC_PC_004,A,仅大模型 + 审核问题,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_PC_004_B,SC_PC_004,B,大模型 + 标准依据库,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_PC_004_C,SC_PC_004,C,大模型 + 审核技能库,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_PC_004_D,SC_PC_004,D,大模型 + 标准依据库 + 审核技能库,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_PC_005_A,SC_PC_005,A,仅大模型 + 审核问题,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_PC_005_B,SC_PC_005,B,大模型 + 标准依据库,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_PC_005_C,SC_PC_005,C,大模型 + 审核技能库,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_PC_005_D,SC_PC_005,D,大模型 + 标准依据库 + 审核技能库,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_PC_006_A,SC_PC_006,A,仅大模型 + 审核问题,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_PC_006_B,SC_PC_006,B,大模型 + 标准依据库,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_PC_006_C,SC_PC_006,C,大模型 + 审核技能库,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_PC_006_D,SC_PC_006,D,大模型 + 标准依据库 + 审核技能库,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_QHSJ_005_A,SC_QHSJ_005,A,仅大模型 + 审核问题,佛山市全海世家新材料科技有限公司新建项目,废气收集效率与活性炭治理设施参数;环境保护措施可行性,10_废气收集形式审核 / 11_废气设计风量审核,,,,,,,,
SC_QHSJ_005_B,SC_QHSJ_005,B,大模型 + 标准依据库,佛山市全海世家新材料科技有限公司新建项目,废气收集效率与活性炭治理设施参数;环境保护措施可行性,10_废气收集形式审核 / 11_废气设计风量审核,,,,,,,,
SC_QHSJ_005_C,SC_QHSJ_005,C,大模型 + 审核技能库,佛山市全海世家新材料科技有限公司新建项目,废气收集效率与活性炭治理设施参数;环境保护措施可行性,10_废气收集形式审核 / 11_废气设计风量审核,,,,,,,,
SC_QHSJ_005_D,SC_QHSJ_005,D,大模型 + 标准依据库 + 审核技能库,佛山市全海世家新材料科技有限公司新建项目,废气收集效率与活性炭治理设施参数;环境保护措施可行性,10_废气收集形式审核 / 11_废气设计风量审核,,,,,,,,
SC_QHSJ_006_A,SC_QHSJ_006,A,仅大模型 + 审核问题,佛山市全海世家新材料科技有限公司新建项目,废气收集形式与设计风量核算,09_源强定量核算审核,,,,,,,,
SC_QHSJ_006_B,SC_QHSJ_006,B,大模型 + 标准依据库,佛山市全海世家新材料科技有限公司新建项目,废气收集形式与设计风量核算,09_源强定量核算审核,,,,,,,,
SC_QHSJ_006_C,SC_QHSJ_006,C,大模型 + 审核技能库,佛山市全海世家新材料科技有限公司新建项目,废气收集形式与设计风量核算,09_源强定量核算审核,,,,,,,,
SC_QHSJ_006_D,SC_QHSJ_006,D,大模型 + 标准依据库 + 审核技能库,佛山市全海世家新材料科技有限公司新建项目,废气收集形式与设计风量核算,09_源强定量核算审核,,,,,,,,
SC_ZCSB_002_A,SC_ZCSB_002,A,仅大模型 + 审核问题,佛山市顺德区智成塑包装有限公司新建项目,图件附件完整性审核,99_总审核汇总,,,,,,,,
SC_ZCSB_002_B,SC_ZCSB_002,B,大模型 + 标准依据库,佛山市顺德区智成塑包装有限公司新建项目,图件附件完整性审核,99_总审核汇总,,,,,,,,
SC_ZCSB_002_C,SC_ZCSB_002,C,大模型 + 审核技能库,佛山市顺德区智成塑包装有限公司新建项目,图件附件完整性审核,99_总审核汇总,,,,,,,,
SC_ZCSB_002_D,SC_ZCSB_002,D,大模型 + 标准依据库 + 审核技能库,佛山市顺德区智成塑包装有限公司新建项目,图件附件完整性审核,99_总审核汇总,,,,,,,,
SC_YD_002_A,SC_YD_002,A,仅大模型 + 审核问题,广东顺德意达电子薄膜器件有限公司新建项目,VOCs总量控制审核,15_VOCs总量控制审核,,,,,,,,
SC_YD_002_B,SC_YD_002,B,大模型 + 标准依据库,广东顺德意达电子薄膜器件有限公司新建项目,VOCs总量控制审核,15_VOCs总量控制审核,,,,,,,,
SC_YD_002_C,SC_YD_002,C,大模型 + 审核技能库,广东顺德意达电子薄膜器件有限公司新建项目,VOCs总量控制审核,15_VOCs总量控制审核,,,,,,,,
SC_YD_002_D,SC_YD_002,D,大模型 + 标准依据库 + 审核技能库,广东顺德意达电子薄膜器件有限公司新建项目,VOCs总量控制审核,15_VOCs总量控制审核,,,,,,,,
SC_YD_003_A,SC_YD_003,A,仅大模型 + 审核问题,广东顺德意达电子薄膜器件有限公司新建项目,废水处理与排放标准审核,07_污染物排放标准审核,,,,,,,,
SC_YD_003_B,SC_YD_003,B,大模型 + 标准依据库,广东顺德意达电子薄膜器件有限公司新建项目,废水处理与排放标准审核,07_污染物排放标准审核,,,,,,,,
SC_YD_003_C,SC_YD_003,C,大模型 + 审核技能库,广东顺德意达电子薄膜器件有限公司新建项目,废水处理与排放标准审核,07_污染物排放标准审核,,,,,,,,
SC_YD_003_D,SC_YD_003,D,大模型 + 标准依据库 + 审核技能库,广东顺德意达电子薄膜器件有限公司新建项目,废水处理与排放标准审核,07_污染物排放标准审核,,,,,,,,
SC_YD_004_A,SC_YD_004,A,仅大模型 + 审核问题,广东顺德意达电子薄膜器件有限公司新建项目,噪声源强与预测审核,07_污染物排放标准审核,,,,,,,,
SC_YD_004_B,SC_YD_004,B,大模型 + 标准依据库,广东顺德意达电子薄膜器件有限公司新建项目,噪声源强与预测审核,07_污染物排放标准审核,,,,,,,,
SC_YD_004_C,SC_YD_004,C,大模型 + 审核技能库,广东顺德意达电子薄膜器件有限公司新建项目,噪声源强与预测审核,07_污染物排放标准审核,,,,,,,,
SC_YD_004_D,SC_YD_004,D,大模型 + 标准依据库 + 审核技能库,广东顺德意达电子薄膜器件有限公司新建项目,噪声源强与预测审核,07_污染物排放标准审核,,,,,,,,
SC_YD_005_A,SC_YD_005,A,仅大模型 + 审核问题,广东顺德意达电子薄膜器件有限公司新建项目,固废与危险废物识别审核,14_危险废物识别审核,,,,,,,,
SC_YD_005_B,SC_YD_005,B,大模型 + 标准依据库,广东顺德意达电子薄膜器件有限公司新建项目,固废与危险废物识别审核,14_危险废物识别审核,,,,,,,,
SC_YD_005_C,SC_YD_005,C,大模型 + 审核技能库,广东顺德意达电子薄膜器件有限公司新建项目,固废与危险废物识别审核,14_危险废物识别审核,,,,,,,,
SC_YD_005_D,SC_YD_005,D,大模型 + 标准依据库 + 审核技能库,广东顺德意达电子薄膜器件有限公司新建项目,固废与危险废物识别审核,14_危险废物识别审核,,,,,,,,
SC_ZBHM_005_A,SC_ZBHM_005,A,仅大模型 + 审核问题,佛山市祖帮海绵有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZBHM_005_B,SC_ZBHM_005,B,大模型 + 标准依据库,佛山市祖帮海绵有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZBHM_005_C,SC_ZBHM_005,C,大模型 + 审核技能库,佛山市祖帮海绵有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZBHM_005_D,SC_ZBHM_005,D,大模型 + 标准依据库 + 审核技能库,佛山市祖帮海绵有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZCSB_001_A,SC_ZCSB_001,A,仅大模型 + 审核问题,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZCSB_001_B,SC_ZCSB_001,B,大模型 + 标准依据库,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZCSB_001_C,SC_ZCSB_001,C,大模型 + 审核技能库,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZCSB_001_D,SC_ZCSB_001,D,大模型 + 标准依据库 + 审核技能库,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZCSB_003_A,SC_ZCSB_003,A,仅大模型 + 审核问题,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZCSB_003_B,SC_ZCSB_003,B,大模型 + 标准依据库,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZCSB_003_C,SC_ZCSB_003,C,大模型 + 审核技能库,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZCSB_003_D,SC_ZCSB_003,D,大模型 + 标准依据库 + 审核技能库,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZCSB_006_A,SC_ZCSB_006,A,仅大模型 + 审核问题,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZCSB_006_B,SC_ZCSB_006,B,大模型 + 标准依据库,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZCSB_006_C,SC_ZCSB_006,C,大模型 + 审核技能库,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZCSB_006_D,SC_ZCSB_006,D,大模型 + 标准依据库 + 审核技能库,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZXYP_004_A,SC_ZXYP_004,A,仅大模型 + 审核问题,佛山志兴盈包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZXYP_004_B,SC_ZXYP_004,B,大模型 + 标准依据库,佛山志兴盈包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZXYP_004_C,SC_ZXYP_004,C,大模型 + 审核技能库,佛山志兴盈包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_ZXYP_004_D,SC_ZXYP_004,D,大模型 + 标准依据库 + 审核技能库,佛山志兴盈包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_HMHX_001_A,SC_HMHX_001,A,仅大模型 + 审核问题,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_HMHX_001_B,SC_HMHX_001,B,大模型 + 标准依据库,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_HMHX_001_C,SC_HMHX_001,C,大模型 + 审核技能库,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_HMHX_001_D,SC_HMHX_001,D,大模型 + 标准依据库 + 审核技能库,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_HMHX_005_A,SC_HMHX_005,A,仅大模型 + 审核问题,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_HMHX_005_B,SC_HMHX_005,B,大模型 + 标准依据库,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_HMHX_005_C,SC_HMHX_005,C,大模型 + 审核技能库,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_HMHX_005_D,SC_HMHX_005,D,大模型 + 标准依据库 + 审核技能库,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_HMHX_008_A,SC_HMHX_008,A,仅大模型 + 审核问题,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_HMHX_008_B,SC_HMHX_008,B,大模型 + 标准依据库,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_HMHX_008_C,SC_HMHX_008,C,大模型 + 审核技能库,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_HMHX_008_D,SC_HMHX_008,D,大模型 + 标准依据库 + 审核技能库,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,,,,,,
SC_PC_003_A,SC_PC_003,A,仅大模型 + 审核问题,鹏彩科技（佛山市）有限公司新建项目,样本链专家意见审核,07_污染物排放标准审核,,,,,,,,
SC_PC_003_B,SC_PC_003,B,大模型 + 标准依据库,鹏彩科技（佛山市）有限公司新建项目,样本链专家意见审核,07_污染物排放标准审核,,,,,,,,
SC_PC_003_C,SC_PC_003,C,大模型 + 审核技能库,鹏彩科技（佛山市）有限公司新建项目,样本链专家意见审核,07_污染物排放标准审核,,,,,,,,
SC_PC_003_D,SC_PC_003,D,大模型 + 标准依据库 + 审核技能库,鹏彩科技（佛山市）有限公司新建项目,样本链专家意见审核,07_污染物排放标准审核,,,,,,,,
SC_PC_007_A,SC_PC_007,A,仅大模型 + 审核问题,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_PC_007_B,SC_PC_007,B,大模型 + 标准依据库,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_PC_007_C,SC_PC_007,C,大模型 + 审核技能库,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_PC_007_D,SC_PC_007,D,大模型 + 标准依据库 + 审核技能库,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
