序号与项目,检查点,原文关键词,解析关键词,原文短证据,解析短证据,Codex预检,人工结论,人工意见
040_佛山市顺德区夏瑞塑胶有限公司迁扩建项目_01_受理公告或公示版,废气治理,废气治理、废气收集、活性炭,废气治理、废气收集、活性炭,塑废气经集气罩+ 胶帘收集后通过活性炭吸 附装置处理后引至楼顶 40m 的 DA001 排气筒高空 排放。 符合 2、《固定污染源挥发性有机物综合排放标,塑废气经集气罩+ 胶帘收集后通过活性炭吸 附装置处理后引至楼顶 40m 的 DA001 排气筒高空 排放。 符合 2、《固定污染源挥发性有机物综合排放标,关键词已对应，待人工核验数值与字段归属,,
040_佛山市顺德区夏瑞塑胶有限公司迁扩建项目_01_受理公告或公示版,固废与危险废物,危险废物、固体废物、危废暂存,危险废物、固体废物、危废暂存,为清净下水， 排至市政雨水管网；固体废物 分类收集，一般固体废物由物 资回收公司回收，危险废物交 由有危险废物处理资质的单 位收集处置。 符合 环境 风,为清净下水， 排至市政雨水管网；固体废物 分类收集，一般固体废物由物 资回收公司回收，危险废物交 由有危险废物处理资质的单 位收集处置。 符合 环境 风,关键词已对应，待人工核验数值与字段归属,,
040_佛山市顺德区夏瑞塑胶有限公司迁扩建项目_01_受理公告或公示版,总量与执行标准,总量控制、总量指标、执行标准,总量控制、总量指标、执行标准,2、《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022） 2.1 有组 织排 放控 制要 求 收集的废气中 NMHC 初始排 放速率≥,2、《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022） 2.1 有组 织排 放控 制要 求 收集的废气中 NMHC 初始排 放速率≥,关键词已对应，待人工核验数值与字段归属,,
040_佛山市顺德区夏瑞塑胶有限公司迁扩建项目_01_受理公告或公示版,监督检查清单,环境保护措施监督检查清单、监督检查清单,环境保护措施监督检查清单、监督检查清单,.......... 33 五、环境保护措施监督检查清单 ...............................................,.......... 33 五、环境保护措施监督检查清单 ...............................................,关键词已对应，待人工核验数值与字段归属,,
041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版,项目基本情况,建设项目名称、建设地点、总投资,建设项目名称、建设地点、总投资,声明 1 一、建设项目基本情况 建设项目名称 佛山市益旭电器有限公司新建项目 项目代码 无 建设单位联系人 董** 联系方式 18*******61 建,6页 1 一、建设项目基本情况 建设项目名称 佛山市益旭电器有限公司新建项目 项目代码 无 建设单位联系人 董** 联系方式 18*******61 建,关键词已对应，待人工核验数值与字段归属,,
041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版,产品与产量,主要产品、产品名称、年产,主要产品、产品名称、年产, 件配件、冰沙机塑料配件的产销，年产空气炸锅塑料件配件 30 万套、冰沙机塑料配件 30 万套。 根据《中华人民共和国环境影响评价法》（2018 年 1, 件配件、冰沙机塑料配件的产销，年产空气炸锅塑料件配件 30 万套、冰沙机塑料配件 30 万套。 根据《中华人民共和国环境影响评价法》（2018 年 1,关键词已对应，待人工核验数值与字段归属,,
041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版,原辅材料,主要原辅材料、原辅材料、辅料,主要原辅材料、原辅材料、辅料,用的物料均不属于高挥 发性有机物原辅材料，符合政策 要求。 符合 1.2 第四十五条 产生含挥发性有机物废 气的生产和服务活动，应当在密闭空 间或者设备,用的物料均不属于高挥 发性有机物原辅材料，符合政策 要求。 符合 1.2 第四十五条 产生含挥发性有机物废 气的生产和服务活动，应当在密闭空 间或者设备,关键词已对应，待人工核验数值与字段归属,,
041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版,生产设备,主要生产设备、设备名称、生产设施,主要生产设备、设备名称、生产设施,度不高于相 应的排放限值；车间或生产设施排气 中 NMHC 初始排放速率≥3kg/h 时， 建设 VOCs 处理设施且处理效率 ≥80%；b）厂区内无组,度不高于相 应的排放限值；车间或生产设施排气 中 NMHC 初始排放速率≥3kg/h 时， 建设 VOCs 处理设施且处理效率 ≥80%；b）厂区内无组,关键词已对应，待人工核验数值与字段归属,,
041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版,工艺与产污,工艺流程、生产工艺、产污环节,工艺流程、生产工艺、产污环节, 4.6 VOCs 治理设施应与生产工艺设备同 步运行，VOCs 治理设施发生故障或 检修时，对应的生产工艺设备应停止 运行，待检修完毕后同步投入使用；, 4.6 VOCs 治理设施应与生产工艺设备同 步运行，VOCs 治理设施发生故障或 检修时，对应的生产工艺设备应停止 运行，待检修完毕后同步投入使用；,关键词已对应，待人工核验数值与字段归属,,
041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版,源强与定量核算,污染源强、产生量、排放量,污染源强、产生量、排放量,时， 建设 VOCs 处理设施且处理效率 ≥80%；b）厂区内无组织排放监控点 NMHC 的小时平均浓度值不超过 6 mg/m3，任意一次浓度值不超过 ,时， 建设 VOCs 处理设施且处理效率 ≥80%；b）厂区内无组织排放监控点 NMHC 的小时平均浓度值不超过 6 mg/m3，任意一次浓度值不超过 ,关键词已对应，待人工核验数值与字段归属,,
041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版,废气治理,废气治理、废气收集、活性炭,废气治理、废气收集、活性炭,经“集气罩+幕帘”收 集，通过“活性炭吸附”装置处理 后引至 52m 排气筒 G1 高空排 放。 符合 2、《广东省大气污染防治条例》（2022 年修订,经“集气罩+幕帘”收 集，通过“活性炭吸附”装置处理 后引至 52m 排气筒 G1 高空排 放。 符合 2、《广东省大气污染防治条例》（2022 年修订,关键词已对应，待人工核验数值与字段归属,,
041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版,固废与危险废物,危险废物、固体废物、危废暂存,危险废物、固体废物、危废暂存,方资质佐证材 料。 企业严格执行危险废物转移计 划报批、依法建立危险废物转移 联单，并通过信息系统登记转移 计划和电子转移联单。 符合 4.8 建立废气,方资质佐证材 料。 企业严格执行危险废物转移计 划报批、依法建立危险废物转移 联单，并通过信息系统登记转移 计划和电子转移联单。 符合 4.8 建立废气,关键词已对应，待人工核验数值与字段归属,,
041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版,总量与执行标准,总量控制、总量指标、执行标准,总量控制、总量指标、执行标准,26-2001） 第一类污染物的排放标准后纳入园区污水 管道送工业园污水处理厂处理。本园区应 按照《报告书》拟定的入园企业类别引进 企业项目，并应避免引,26-2001） 第一类污染物的排放标准后纳入园区污水 管道送工业园污水处理厂处理。本园区应 按照《报告书》拟定的入园企业类别引进 企业项目，并应避免引,关键词已对应，待人工核验数值与字段归属,,
041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版,监督检查清单,环境保护措施监督检查清单、监督检查清单,环境保护措施监督检查清单、监督检查清单,.......... 30 五、环境保护措施监督检查清单 ...............................................,.......... 30 五、环境保护措施监督检查清单 ...............................................,关键词已对应，待人工核验数值与字段归属,,
042_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版,项目基本情况,建设项目名称、建设地点、总投资,建设项目名称、建设地点、总投资,DS 1 一、建设项目基本情况 建设项目名称 佛山市昇汇包装材料有限公司新建项目 项目代码 无 建设单位联系人 *** 联系方式 **** 建设地点 广,6页 1 一、建设项目基本情况 建设项目名称 佛山市昇汇包装材料有限公司新建项目 项目代码 无 建设单位联系人 *** 联系方式 **** 建设地点 广,关键词已对应，待人工核验数值与字段归属,,
042_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版,产品与产量,主要产品、产品名称、年产,主要产品、产品名称、年产,，建筑物总高 50m。 项目计划年产 PVC 吸塑包装品 300 万件/a、PET 吸塑包装品 600 万件/a、PS 吸塑包 装品 300 万件/a、,，建筑物总高 50m。 项目计划年产 PVC 吸塑包装品 300 万件/a、PET 吸塑包装品 600 万件/a、PS 吸塑包 装品 300 万件/a、,关键词已对应，待人工核验数值与字段归属,,
042_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版,原辅材料,主要原辅材料、原辅材料、辅料,主要原辅材料、原辅材料、辅料,制新建生产和使用高 挥发性有机物原辅材料项目，优先开展低 VOCs 含量原辅材料替代，强化无组织排放 控制。原则上不再新建、扩建新增氮氧化物、 烟（粉）,制新建生产和使用高 挥发性有机物原辅材料项目，优先开展低 VOCs 含量原辅材料替代，强化无组织排放 控制。原则上不再新建、扩建新增氮氧化物、 烟（粉）,关键词已对应，待人工核验数值与字段归属,,
042_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版,生产设备,主要生产设备、生产设施、设备一览,主要生产设备、生产设施、设备一览,m/s。 符 合 3.3 车间或生产设施排气中 NMHC 初始排放速 率≥3kg/h 时，建设 VOCs 处理设施且处理效 率≥80%。厂区内无组织排放,m/s。 符 合 3.3 车间或生产设施排气中 NMHC 初始排放速 率≥3kg/h 时，建设 VOCs 处理设施且处理效 率≥80%。厂区内无组织排放,关键词已对应，待人工核验数值与字段归属,,
042_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版,工艺与产污,工艺流程、生产工艺、产污节点,工艺流程、生产工艺、产污节点, 购清单。 鼓励重点行业企业开展生产工艺和设备水性 化改造，推广使用水性、高固体分、无溶剂、 粉末等低 VOCs 含量涂料。严格落实 《挥发 性有机物无, 购清单。 鼓励重点行业企业开展生产工艺和设备水性 化改造，推广使用水性、高固体分、无溶剂、 粉末等低 VOCs 含量涂料。严格落实 《挥发 性有机物无,关键词已对应，待人工核验数值与字段归属,,
042_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版,源强与定量核算,污染源强、产生量、排放量,污染源强、产生量、排放量,.. 51 附表 建设项目污染物排放量汇总表 附图 附图 1 项目地理位置图 附图 2 项目周围环境概况图 附图 3 项目四至卫星图（含厂界外扩 50m,.. 51 附表 建设项目污染物排放量汇总表 附图 附图 1 项目地理位置图 附图 2 项目周围环境概况图 附图 3 项目四至卫星图（含厂界外扩 50m,关键词已对应，待人工核验数值与字段归属,,
042_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版,废气治理,废气治理、废气收集、活性炭,废气治理、废气收集、活性炭,标后 排放至勒流污水处理厂。生产废气收集后经“活性炭吸附”处理后引至高空 排放，不产生和排放有毒有害大气污染物项目，符合环境准入及管控要求。 （2）与佛,标后 排放至勒流污水处理厂。生产废气收集后经“活性炭吸附”处理后引至高空 排放，不产生和排放有毒有害大气污染物项目，符合环境准入及管控要求。 （2）与佛,关键词已对应，待人工核验数值与字段归属,,
042_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版,固废与危险废物,危险废物、固体废物、危废暂存,危险废物、固体废物、危废暂存,突发环境事件应急管理体系。 项目危险废物暂存 间设置防泄漏围堰 或墁坡，并配备应急 吸收材料，液态危险 废物少量泄漏采用 吸收材料处置；加强 废水处理设,突发环境事件应急管理体系。 项目危险废物暂存 间设置防泄漏围堰 或墁坡，并配备应急 吸收材料，液态危险 废物少量泄漏采用 吸收材料处置；加强 废水处理设,关键词已对应，待人工核验数值与字段归属,,
042_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版,总量与执行标准,总量控制、总量指标、执行标准,总量控制、总量指标、执行标准,水应执行《城镇污水处理厂污染 物排放标准》（GB18918-2002）一级 A 标 准及《广东省水污染物排放限值》 （DB44/26-2001）的较严值,水应执行《城镇污水处理厂污染 物排放标准》（GB18918-2002）一级 A 标 准及《广东省水污染物排放限值》 （DB44/26-2001）的较严值,关键词已对应，待人工核验数值与字段归属,,
042_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版,监督检查清单,环境保护措施监督检查清单、监督检查清单,环境保护措施监督检查清单、监督检查清单,.......... 26 五、环境保护措施监督检查清单 ...............................................,.......... 26 五、环境保护措施监督检查清单 ...............................................,关键词已对应，待人工核验数值与字段归属,,
043_佛山市富懿塑料制品有限公司新建项目_01_报批稿或报告表,项目基本情况,建设项目名称、建设地点、总投资,建设项目名称、建设地点、总投资,85 1 一、建设项目基本情况 建设项目名称 佛山市富懿塑料制品有限公司新建项目 项目代码 无 建设单位联系人 欧阳玉亮 联系方式 1382551893,7页 1 一、建设项目基本情况 建设项目名称 佛山市富懿塑料制品有限公司新建项目 项目代码 无 建设单位联系人 欧阳玉亮 联系方式 1382551893,关键词已对应，待人工核验数值与字段归属,,
043_佛山市富懿塑料制品有限公司新建项目_01_报批稿或报告表,产品与产量,主要产品、产品名称、年产,主要产品、产品名称、年产,位于生产车间，暂存危险废物 2、主要产品及产能 项目主要产品年产量见下表。 表 2-2 项目主要产品年产量 主要产品名称 产量 小家电配件 320 吨/,位于生产车间，暂存危险废物 2、主要产品及产能 项目主要产品年产量见下表。 表 2-2 项目主要产品年产量 主要产品名称 产量 小家电配件 320 吨/,关键词已对应，待人工核验数值与字段归属,,
043_佛山市富懿塑料制品有限公司新建项目_01_报批稿或报告表,原辅材料,主要原辅材料、原辅材料、原料名称,主要原辅材料、原辅材料、原料名称,洗剂、 胶黏剂等高挥发性有 机物原辅材料 1-5.【大气/鼓励引导类】大气环境高排放重点管控区内，应强化达 标监管，引导工业项目落地集聚发展，有序推进区,洗剂、 胶黏剂等高挥发性有 机物原辅材料 1-5.【大气/鼓励引导类】大气环境高排放重点管控区内，应强化达 标监管，引导工业项目落地集聚发展，有序推进区,关键词已对应，待人工核验数值与字段归属,,
043_佛山市富懿塑料制品有限公司新建项目_01_报批稿或报告表,生产设备,主要生产设备、设备名称、生产设施,主要生产设备、设备名称、生产设施,设施详见下表： 表 2-4 项目主要生产设备明细表 序号 设备名称 数量 设备参数 使用工序/备注 参数名称（单位） 值 1 注塑机 15 台 注塑温度,设施详见下表： 表 2-4 项目主要生产设备明细表 序号 设备名称 数量 设备参数 使用工序/备注 参数名称（单位） 值 1 注塑机 15 台 注塑温度,关键词已对应，待人工核验数值与字段归属,,
043_佛山市富懿塑料制品有限公司新建项目_01_报批稿或报告表,工艺与产污,工艺流程、生产工艺、产污环节,工艺流程、生产工艺、产污环节,代，加快涉 VOCs 重点行业的生产工艺升级改造，推行自动化生产工艺，对达 不到要求的 VOCs 收集及治理设施进行整治提升，逐步淘汰低效 VOCs 治,代，加快涉 VOCs 重点行业的生产工艺升级改造，推行自动化生产工艺，对达 不到要求的 VOCs 收集及治理设施进行整治提升，逐步淘汰低效 VOCs 治,关键词已对应，待人工核验数值与字段归属,,
043_佛山市富懿塑料制品有限公司新建项目_01_报批稿或报告表,源强与定量核算,污染源强、产生量、排放量,污染源强、产生量、排放量,..... 46 建设项目污染物排放量汇总表 .....................................................,..... 46 建设项目污染物排放量汇总表 .....................................................,关键词已对应，待人工核验数值与字段归属,,
043_佛山市富懿塑料制品有限公司新建项目_01_报批稿或报告表,废气治理,废气治理、废气收集、活性炭,废气治理、废气收集、活性炭,闭罩+半密闭集气 罩”收集后经“活性炭 吸附”处理后高空排放 3-8.【土壤/限制类】严格重金属重点行业企业准入管理。新、改、 扩建重点行业建设项目应遵,闭罩+半密闭集气 罩”收集后经“活性炭 吸附”处理后高空排放 3-8.【土壤/限制类】严格重金属重点行业企业准入管理。新、改、 扩建重点行业建设项目应遵,关键词已对应，待人工核验数值与字段归属,,
043_佛山市富懿塑料制品有限公司新建项目_01_报批稿或报告表,固废与危险废物,危险废物、固体废物、危废代码,危险废物、固体废物、危废代码,治。开展“无废城市”建设， 推动固体废物源头减量、资源化利用和安全处置 项目生活污水依托厂房 的三级化粪池预处理后 排入容桂第一污水处理 厂处理。营运期,治。开展“无废城市”建设， 推动固体废物源头减量、资源化利用和安全处置 项目生活污水依托厂房 的三级化粪池预处理后 排入容桂第一污水处理 厂处理。营运期,关键词已对应，待人工核验数值与字段归属,,
043_佛山市富懿塑料制品有限公司新建项目_01_报批稿或报告表,总量与执行标准,总量控制、总量指标、执行标准,总量控制、总量指标、执行标准,水应执行《城镇污水处理厂污染 物排放标准》（GB18918-2002）一级 A 标准及《广东省水污染物 排放限值》（DB44/26-2001）的较严值。,水应执行《城镇污水处理厂污染 物排放标准》（GB18918-2002）一级 A 标准及《广东省水污染物 排放限值》（DB44/26-2001）的较严值。,关键词已对应，待人工核验数值与字段归属,,
043_佛山市富懿塑料制品有限公司新建项目_01_报批稿或报告表,监督检查清单,环境保护措施监督检查清单、监督检查清单,环境保护措施监督检查清单、监督检查清单,.......... 21 五、环境保护措施监督检查清单 ...............................................,.......... 21 五、环境保护措施监督检查清单 ...............................................,关键词已对应，待人工核验数值与字段归属,,
044_佛山市圣鑫塑料制品有限公司新建项目_01_受理公告或公示版,项目基本情况,建设项目名称、建设地点、总投资,建设项目名称、建设地点、总投资, 1 — 一、建设项目基本情况 建设项目名称 佛山市圣鑫塑料制品有限公司新建项目 项目代码 无 建设单位联系人 ** 联系方式 ** 建设地点 广东省佛, 1 — 一、建设项目基本情况 建设项目名称 佛山市圣鑫塑料制品有限公司新建项目 项目代码 无 建设单位联系人 ** 联系方式 ** 建设地点 广东省佛,关键词已对应，待人工核验数值与字段归属,,
044_佛山市圣鑫塑料制品有限公司新建项目_01_受理公告或公示版,产品与产量,产品方案、年产,产品方案、年产,项目主要从事塑料 保护壳的生产，年产塑料保护壳 1500 万个，项目组成详见下表。 2. 项目基本情况 2.1 工程规模 项目工程规模见下表。 表 4 ,项目主要从事塑料 保护壳的生产，年产塑料保护壳 1500 万个，项目组成详见下表。 2. 项目基本情况 2.1 工程规模 项目工程规模见下表。 表 4 ,关键词已对应，待人工核验数值与字段归属,,
044_佛山市圣鑫塑料制品有限公司新建项目_01_受理公告或公示版,原辅材料,原辅材料,原辅材料,保护壳的生产，生产的产品及使用的原辅材料均不属于《环境 保护综合名录（2021 年版）》中“高污染、高环境风险”产品名录，符合要求。 3、与《广东省发展,保护壳的生产，生产的产品及使用的原辅材料均不属于《环境 保护综合名录（2021 年版）》中“高污染、高环境风险”产品名录，符合要求。 3、与《广东省发展,关键词已对应，待人工核验数值与字段归属,,
044_佛山市圣鑫塑料制品有限公司新建项目_01_受理公告或公示版,生产设备,生产设施、设备一览,生产设施、设备一览,浓度不高于相应的排放限值；车间或生产设施排 气中 NMHC 初始排放速率≥3 kg/h 时，建设 VOCs 处理设施且处理效率≥80%；b）厂区内无组织,浓度不高于相应的排放限值；车间或生产设施排 气中 NMHC 初始排放速率≥3 kg/h 时，建设 VOCs 处理设施且处理效率≥80%；b）厂区内无组织,关键词已对应，待人工核验数值与字段归属,,
044_佛山市圣鑫塑料制品有限公司新建项目_01_受理公告或公示版,工艺与产污,工艺流程、生产工艺、产污环节,工艺流程、生产工艺、产污环节,采购清单。鼓励重点行业企业 开展生产工艺和设备水性化改造，推广使用水性、 高固体分、无溶剂、粉末等低 VOCs 含量涂料。 严格落实《挥发性有机物无组织,采购清单。鼓励重点行业企业 开展生产工艺和设备水性化改造，推广使用水性、 高固体分、无溶剂、粉末等低 VOCs 含量涂料。 严格落实《挥发性有机物无组织,关键词已对应，待人工核验数值与字段归属,,
044_佛山市圣鑫塑料制品有限公司新建项目_01_受理公告或公示版,源强与定量核算,产生量、排放量、收集效率,产生量、排放量、收集效率,..... 50 建设项目污染物排放量汇总表 .....................................................,..... 50 建设项目污染物排放量汇总表 .....................................................,关键词已对应，待人工核验数值与字段归属,,
044_佛山市圣鑫塑料制品有限公司新建项目_01_受理公告或公示版,废气治理,废气治理、废气收集、活性炭,废气治理、废气收集、活性炭,半密闭型集气罩点对 点收集，采用活性炭吸 附装置处理有机废气。 符 合 1.3 提高废气收集率，遵循“应收尽收、分质收集”的 原则，科学设计废气收集系统,半密闭型集气罩点对 点收集，采用活性炭吸 附装置处理有机废气。 符 合 1.3 提高废气收集率，遵循“应收尽收、分质收集”的 原则，科学设计废气收集系统,关键词已对应，待人工核验数值与字段归属,,
044_佛山市圣鑫塑料制品有限公司新建项目_01_受理公告或公示版,固废与危险废物,危险废物、固体废物、危废暂存,危险废物、固体废物、危废暂存,处理方式资质佐证材料。 项目建立危险废物台 账，定期将废机油、废 活性炭等危险废物交给 有资质的单位处理，整 理危废处理合同、转移 联单等资料。 符 合,处理方式资质佐证材料。 项目建立危险废物台 账，定期将废机油、废 活性炭等危险废物交给 有资质的单位处理，整 理危废处理合同、转移 联单等资料。 符 合,关键词已对应，待人工核验数值与字段归属,,
044_佛山市圣鑫塑料制品有限公司新建项目_01_受理公告或公示版,总量与执行标准,总量控制、总量指标、执行标准,总量控制、总量指标、执行标准,26-2001） 第一类污染物的排放标准后纳入园区污水管 道送工业园污水处理厂处理。本园区应按照 《报告书》拟定的入园企业类别引进企业项 目，并应避免引,26-2001） 第一类污染物的排放标准后纳入园区污水管 道送工业园污水处理厂处理。本园区应按照 《报告书》拟定的入园企业类别引进企业项 目，并应避免引,关键词已对应，待人工核验数值与字段归属,,
044_佛山市圣鑫塑料制品有限公司新建项目_01_受理公告或公示版,监督检查清单,环境保护措施监督检查清单、监督检查清单,环境保护措施监督检查清单、监督检查清单,.......... 26 五、环境保护措施监督检查清单 ...............................................,.......... 26 五、环境保护措施监督检查清单 ...............................................,关键词已对应，待人工核验数值与字段归属,,
045_佛山智达医疗器械有限公司新建项目_01_受理公告或公示版,项目基本情况,建设项目名称、建设地点、总投资,建设项目名称、建设地点、总投资, 1 — 一、建设项目基本情况 建设项目名称 佛山智达医疗器械有限公司新建项目 项目代码 无 建设单位联系人 ** 联系方式 ** 建设地点 广东省佛山, 1 — 一、建设项目基本情况 建设项目名称 佛山智达医疗器械有限公司新建项目 项目代码 无 建设单位联系人 ** 联系方式 ** 建设地点 广东省佛山,关键词已对应，待人工核验数值与字段归属,,
045_佛山智达医疗器械有限公司新建项目_01_受理公告或公示版,产品与产量,产品名称、年产,产品名称、年产,事医疗卫生用塑料制品的生产，预计年产医疗卫生用塑料制品 500 吨。 项目经营场所为已建标准厂房，其为 8 层建筑（首层高度为 7.9m，2-8 层高度,事医疗卫生用塑料制品的生产，预计年产医疗卫生用塑料制品 500 吨。 项目经营场所为已建标准厂房，其为 8 层建筑（首层高度为 7.9m，2-8 层高度,关键词已对应，待人工核验数值与字段归属,,
045_佛山智达医疗器械有限公司新建项目_01_受理公告或公示版,原辅材料,原辅材料、辅料,原辅材料、辅料,塑料制品生产，生产的产品及使用的原辅材料均不属于 《环境保护综合名录（2021 年版）》中“高污染、高环境风险”产品名录，符合要求。 3、与广东省发展改,塑料制品生产，生产的产品及使用的原辅材料均不属于 《环境保护综合名录（2021 年版）》中“高污染、高环境风险”产品名录，符合要求。 3、与广东省发展改,关键词已对应，待人工核验数值与字段归属,,
045_佛山智达医疗器械有限公司新建项目_01_受理公告或公示版,生产设备,生产设施、设备一览,生产设施、设备一览, 计算。 符 合 8.4 车间或生产设施排气中 NMHC 初始排放速率 ≥3kg/h 时，建设 VOCs 处理设施且处理效率 ≥80%，采用的原辅材料符, 计算。 符 合 8.4 车间或生产设施排气中 NMHC 初始排放速率 ≥3kg/h 时，建设 VOCs 处理设施且处理效率 ≥80%，采用的原辅材料符,关键词已对应，待人工核验数值与字段归属,,
045_佛山智达医疗器械有限公司新建项目_01_受理公告或公示版,工艺与产污,工艺流程、生产工艺、产污环节,工艺流程、生产工艺、产污环节,采购清单。鼓励重点行业企 业开展生产工艺和设备水性化改造，推广使用水 性、高固体分、无溶剂、粉末等低 VOCs 含量涂 料。严格落实《挥发性有机物无组织,采购清单。鼓励重点行业企 业开展生产工艺和设备水性化改造，推广使用水 性、高固体分、无溶剂、粉末等低 VOCs 含量涂 料。严格落实《挥发性有机物无组织,关键词已对应，待人工核验数值与字段归属,,
045_佛山智达医疗器械有限公司新建项目_01_受理公告或公示版,源强与定量核算,产生量、排放量、收集效率,产生量、排放量、收集效率,..... 53 建设项目污染物排放量汇总表 .....................................................,..... 53 建设项目污染物排放量汇总表 .....................................................,关键词已对应，待人工核验数值与字段归属,,
045_佛山智达医疗器械有限公司新建项目_01_受理公告或公示版,废气治理,废气治理、废气收集、活性炭,废气治理、废气收集、活性炭,点设置半密闭型 集气罩收集，采用活性炭 吸附装置处理有机废气。 符 合 1.3 提高废气收集率，遵循“应收尽收、分质收集”的 原则，科学设计废气收集系统,点设置半密闭型 集气罩收集，采用活性炭 吸附装置处理有机废气。 符 合 1.3 提高废气收集率，遵循“应收尽收、分质收集”的 原则，科学设计废气收集系统,关键词已对应，待人工核验数值与字段归属,,
045_佛山智达医疗器械有限公司新建项目_01_受理公告或公示版,固废与危险废物,危险废物、固体废物、危废暂存,危险废物、固体废物、危废暂存,处理方式资质佐证材料。 项目建立危险废物台账， 定期将废机油、废活性炭 等危险废物交给有资质 的单位处理，整理危废处 理合同、转移联单等资 料。 符 合,处理方式资质佐证材料。 项目建立危险废物台账， 定期将废机油、废活性炭 等危险废物交给有资质 的单位处理，整理危废处 理合同、转移联单等资 料。 符 合,关键词已对应，待人工核验数值与字段归属,,
045_佛山智达医疗器械有限公司新建项目_01_受理公告或公示版,总量与执行标准,总量控制、总量指标、执行标准,总量控制、总量指标、执行标准,26-2001） 第一类污染物的排放标准后纳入园区污水管 道送工业园污水处理厂处理。本园区应按照 《报告书》拟定的入园企业类别引进企业项 目，并应避免引,26-2001） 第一类污染物的排放标准后纳入园区污水管 道送工业园污水处理厂处理。本园区应按照 《报告书》拟定的入园企业类别引进企业项 目，并应避免引,关键词已对应，待人工核验数值与字段归属,,
045_佛山智达医疗器械有限公司新建项目_01_受理公告或公示版,监督检查清单,环境保护措施监督检查清单、监督检查清单,环境保护措施监督检查清单、监督检查清单,.......... 26 五、环境保护措施监督检查清单 ...............................................,.......... 26 五、环境保护措施监督检查清单 ...............................................,关键词已对应，待人工核验数值与字段归属,,
046_佛山市顺德区华祥坤工艺电器有限公司扩建项目_01_受理公告或公示版,项目基本情况,建设项目名称、建设地点、总投资,建设项目名称、建设地点、总投资,声明 1 一、建设项目基本情况 建设项目名称 佛山市顺德区华祥坤工艺电器有限公司扩建项目 项目代码 无 建设单位联系人 罗** 联系方式 13*****,6页 1 一、建设项目基本情况 建设项目名称 佛山市顺德区华祥坤工艺电器有限公司扩建项目 项目代码 无 建设单位联系人 罗** 联系方式 13*****,关键词已对应，待人工核验数值与字段归属,,
046_佛山市顺德区华祥坤工艺电器有限公司扩建项目_01_受理公告或公示版,产品与产量,主要产品、产品名称、年产,主要产品、产品名称、年产,事小家电 配件的产销，扩建前项目年产小家电配件 100 万件。 现为提升产品质量，提高企业市场竞争力，佛山市顺德区华祥坤工艺电器有限公司 拟于原址上进行,事小家电 配件的产销，扩建前项目年产小家电配件 100 万件。 现为提升产品质量，提高企业市场竞争力，佛山市顺德区华祥坤工艺电器有限公司 拟于原址上进行,关键词已对应，待人工核验数值与字段归属,,
046_佛山市顺德区华祥坤工艺电器有限公司扩建项目_01_受理公告或公示版,原辅材料,主要原辅材料、原辅材料、辅料,主要原辅材料、原辅材料、辅料,用的物料均不属于高挥 发性有机物原辅材料，符合政策 要求。 符合 1.2 第四十五条 产生含挥发性有机物废 气的生产和服务活动，应当在密闭空 间或者设备,用的物料均不属于高挥 发性有机物原辅材料，符合政策 要求。 符合 1.2 第四十五条 产生含挥发性有机物废 气的生产和服务活动，应当在密闭空 间或者设备,关键词已对应，待人工核验数值与字段归属,,
046_佛山市顺德区华祥坤工艺电器有限公司扩建项目_01_受理公告或公示版,生产设备,主要生产设备、设备名称、生产设施,主要生产设备、设备名称、生产设施,度不高于相 应的排放限值；车间或生产设施排气 中 NMHC 初始排放速率≥3kg/h 时， 建设 VOCs 处理设施且处理效率≥ 80%；b）厂区内无组,度不高于相 应的排放限值；车间或生产设施排气 中 NMHC 初始排放速率≥3kg/h 时， 建设 VOCs 处理设施且处理效率≥ 80%；b）厂区内无组,关键词已对应，待人工核验数值与字段归属,,
